Arizona,Diamondbacks,AZ,Chase Field,48519,National,West,ari
Atlanta,Braves,GA,SunTrust Park,41500,National,East,atl
Baltimore,Orioles,MD,Oriole Park at Camden Yards,45971,American,East,bal
Boston,Red Sox,MA,Fenway Park,37949,American,East,bos
Chicago,Cubs,IL,Wrigley Field,41268,National,Central,chc
Cincinnati,Reds,OH,Great American Ball Park,42319,National,Central,cin
Cleveland,Indians,OH,Progressive Field,35225,American,Central,cle
Colorado,Rockies,CO,Coors Field,50398,National,West,col
Chicago,White Sox,IL,Guaranteed Rate Field,40615,American,Central,cws
Detroit,Tigers,MI,Comerica Park,41297,American,Central,det
Houston,Astros,TX,Minute Maid Park,41676,American,West,hou
Kansas City,Royals,MO,Kauffman Stadium,37903,American,Central,kc
Los Angeles,Angels,CA,Angel Stadium,45957,American,West,laa
Los Angeles,Dodgers,CA,Dodger Stadium,56000,National,West,lad
Miami,Marlins,FL,Marlins Park,36742,National,East,mia
Milwaukee,Brewers,WI,Miller Park,41900,National,Central,mil
Minnesota,Twins,MN,Target Field,38871,American,Central,min
New York,Mets,NY,Citi Field,41922,National,East,nym
New York,Yankees,NY,Yankee Stadium,49638,American,East,nyy
Oakland,Athletics,CA,Oakland–Alameda County Coliseum,35067,American,West,oak
Philadelphia,Phillies,PA,Citizens Bank Park,43651,National,East,phi
Pittsburgh,Pirates,PA,PNC Park,38362,National,Central,pit
San Diego,Padres,CA,Petco Park,40162,National,West,sd
San Francisco,Giants,CA,AT&T Park,41915,National,West,sf
Seattle,Mariners,WA,Safeco Field,47943,American,West,sea
St. Louis,Cardinals,MO,Busch Stadium,43975,National,Central,stl
Tampa Bay,Rays,FL,Tropicana Field,31042,American,East,tb
Texas,Rangers,TX,Globe Life Park in Arlington,48114,American,West,tex
Toronto,Blue Jays,ON,Rogers Centre,49282,American,East,tor
Washington,Nationals,D.C.,Nationals Park,41313,National,East,was
